Beam	Node	X	Y	Z	track	arch	original
Beam_3_2_1	15465	0.041574	0.10172	0.010308	3	2	80
Beam_3_2_1	15523	0.041574	0.10172	0.011699	3	2	80
Beam_3_2_1	15448	0.057426	0.10172	0.010308	3	2	80
Beam_3_2_1	15530	0.057426	0.10172	0.011699	3	2	80
Beam_3_2_1	15464	0.043161	0.10214	0.010713	3	2	80
Beam_3_2_1	15522	0.043161	0.10214	0.012092	3	2	80
Beam_3_2_1	15449	0.055839	0.10214	0.010713	3	2	80
Beam_3_2_1	15531	0.055839	0.10214	0.012092	3	2	80
Beam_3_2_1	15463	0.044738	0.10255	0.011108	3	2	80
Beam_3_2_1	15521	0.044738	0.10255	0.012477	3	2	80
Beam_3_2_1	15450	0.054262	0.10255	0.011108	3	2	80
Beam_3_2_1	15532	0.054262	0.10255	0.012477	3	2	80
Beam_3_2_1	15518	0.041888	0.10281	0.012708	3	2	80
Beam_3_2_1	15470	0.041888	0.10281	0.011346	3	2	80
Beam_3_2_1	15488	0.057116	0.10282	0.011357	3	2	80
Beam_3_2_1	15499	0.057116	0.10282	0.012719	3	2	80
Beam_3_2_1	15462	0.046328	0.10297	0.0115	3	2	80
Beam_3_2_1	15520	0.046328	0.10297	0.012858	3	2	80
Beam_3_2_1	15533	0.052672	0.10297	0.012858	3	2	80
Beam_3_2_1	15451	0.052672	0.10297	0.0115	3	2	80
Beam_3_2_1	15517	0.043794	0.10331	0.01316	3	2	80
Beam_3_2_1	15469	0.043794	0.10331	0.01181	3	2	80
Beam_3_2_1	15500	0.055215	0.10332	0.013169	3	2	80
Beam_3_2_1	15489	0.055215	0.10332	0.011819	3	2	80
Beam_3_2_1	15461	0.047908	0.10339	0.011883	3	2	80
Beam_3_2_1	15519	0.047908	0.10339	0.013232	3	2	80
Beam_3_2_1	15534	0.051092	0.10339	0.013232	3	2	80
Beam_3_2_1	15452	0.051092	0.10339	0.011883	3	2	80
Beam_3_2_1	15468	0.045686	0.1038	0.012262	3	2	80
Beam_3_2_1	15516	0.045686	0.1038	0.013601	3	2	80
Beam_3_2_1	15524	0.0495	0.1038	0.013602	3	2	80
Beam_3_2_1	15453	0.0495	0.1038	0.012263	3	2	80
Beam_3_2_1	15501	0.053326	0.10381	0.013607	3	2	80
Beam_3_2_1	15490	0.053327	0.10381	0.012268	3	2	80
Beam_3_2_1	15515	0.047595	0.1043	0.014037	3	2	80
Beam_3_2_1	15467	0.047595	0.1043	0.012709	3	2	80
Beam_3_2_1	15482	0.051422	0.10431	0.012713	3	2	80
Beam_3_2_1	15502	0.051422	0.10431	0.01404	3	2	80
Beam_3_2_1	15514	0.045705	0.1048	0.01446	3	2	80
Beam_3_2_1	15475	0.045706	0.1048	0.013143	3	2	80
Beam_3_2_1	15483	0.053307	0.1048	0.013146	3	2	80
Beam_3_2_1	15503	0.053307	0.1048	0.014463	3	2	80
Beam_3_2_1	15454	0.049514	0.10481	0.01315	3	2	80
Beam_3_2_1	15511	0.049514	0.10481	0.014466	3	2	80
Beam_3_2_1	15455	0.047936	0.10522	0.013505	3	2	80
Beam_3_2_1	15525	0.047936	0.10522	0.014813	3	2	80
Beam_3_2_1	15510	0.051088	0.10522	0.014813	3	2	80
Beam_3_2_1	15481	0.051088	0.10522	0.013505	3	2	80
Beam_3_2_1	15513	0.0438	0.1053	0.014879	3	2	80
Beam_3_2_1	15474	0.043801	0.1053	0.013573	3	2	80
Beam_3_2_1	15504	0.055208	0.1053	0.014881	3	2	80
Beam_3_2_1	15484	0.055208	0.1053	0.013575	3	2	80
Beam_3_2_1	15456	0.046347	0.10564	0.013857	3	2	80
Beam_3_2_1	15526	0.046347	0.10564	0.015156	3	2	80
Beam_3_2_1	15509	0.052672	0.10564	0.015156	3	2	80
Beam_3_2_1	15480	0.052672	0.10564	0.013857	3	2	80
Beam_3_2_1	15473	0.041908	0.1058	0.013991	3	2	80
Beam_3_2_1	15512	0.041908	0.1058	0.015287	3	2	80
Beam_3_2_1	15485	0.057096	0.1058	0.013992	3	2	80
Beam_3_2_1	15505	0.057097	0.1058	0.015288	3	2	80
Beam_3_2_1	15457	0.044766	0.10605	0.014202	3	2	80
Beam_3_2_1	15527	0.044766	0.10605	0.015493	3	2	80
Beam_3_2_1	15479	0.054248	0.10605	0.014202	3	2	80
Beam_3_2_1	15508	0.054248	0.10605	0.015493	3	2	80
Beam_3_2_1	15528	0.043175	0.10647	0.015826	3	2	80
Beam_3_2_1	15458	0.043176	0.10647	0.014543	3	2	80
Beam_3_2_1	15478	0.055834	0.10647	0.014543	3	2	80
Beam_3_2_1	15507	0.055834	0.10647	0.015826	3	2	80
Beam_3_2_1	15529	0.041593	0.10688	0.016152	3	2	80
Beam_3_2_1	15459	0.041593	0.10688	0.014877	3	2	80
Beam_3_2_1	15506	0.057412	0.10688	0.016152	3	2	80
Beam_3_2_1	15477	0.057412	0.10688	0.014877	3	2	80
Beam_3_2_1	24908	0.04	0.1078	0.016231	3	2	80
Beam_3_2_1	24911	0.04475	0.1078	0.016231	3	2	80
Beam_3_2_1	24910	0.0495	0.1078	0.016231	3	2	80
Beam_3_2_1	24909	0.05425	0.1078	0.016231	3	2	80
Beam_3_2_1	24907	0.059	0.1078	0.016231	3	2	80
Beam_3_2_3	17011	0.042363	0.10893	0.017696	3	2	134
Beam_3_2_3	16967	0.042363	0.10893	0.016456	3	2	134
Beam_3_2_3	16961	0.056637	0.10893	0.016456	3	2	134
Beam_3_2_3	17013	0.056637	0.10893	0.017696	3	2	134
Beam_3_2_3	16966	0.044746	0.10956	0.016914	3	2	134
Beam_3_2_3	17010	0.044746	0.10956	0.018144	3	2	134
Beam_3_2_3	16962	0.054254	0.10956	0.016914	3	2	134
Beam_3_2_3	17014	0.054254	0.10956	0.018144	3	2	134
Beam_3_2_3	16997	0.041892	0.10981	0.01832	3	2	134
Beam_3_2_3	16985	0.041892	0.10981	0.017095	3	2	134
Beam_3_2_3	17016	0.057112	0.10982	0.018329	3	2	134
Beam_3_2_3	16957	0.057113	0.10982	0.017103	3	2	134
Beam_3_2_3	17009	0.047114	0.11018	0.018579	3	2	134
Beam_3_2_3	16965	0.047114	0.11018	0.017358	3	2	134
Beam_3_2_3	17015	0.051886	0.11018	0.018579	3	2	134
Beam_3_2_3	16963	0.051886	0.11018	0.017358	3	2	134
Beam_3_2_3	16996	0.043795	0.11031	0.018668	3	2	134
Beam_3_2_3	16984	0.043795	0.11031	0.017449	3	2	134
Beam_3_2_3	17017	0.055213	0.11032	0.018674	3	2	134
Beam_3_2_3	16958	0.055213	0.11032	0.017456	3	2	134
Beam_3_2_3	16983	0.045689	0.1108	0.017796	3	2	134
Beam_3_2_3	16995	0.045689	0.1108	0.019007	3	2	134
Beam_3_2_3	16964	0.0495	0.1108	0.017796	3	2	134
Beam_3_2_3	17012	0.0495	0.1108	0.019007	3	2	134
Beam_3_2_3	16959	0.053323	0.11081	0.017801	3	2	134
Beam_3_2_3	17018	0.053323	0.11081	0.019011	3	2	134
Beam_3_2_3	16982	0.047595	0.1113	0.018138	3	2	134
Beam_3_2_3	16998	0.047595	0.1113	0.019342	3	2	134
Beam_3_2_3	17019	0.051422	0.11131	0.019345	3	2	134
Beam_3_2_3	16951	0.051422	0.11131	0.018141	3	2	134
Beam_3_2_3	17001	0.045703	0.1118	0.019668	3	2	134
Beam_3_2_3	16981	0.045703	0.1118	0.018471	3	2	134
Beam_3_2_3	16952	0.05331	0.1118	0.018473	3	2	134
Beam_3_2_3	17020	0.05331	0.1118	0.01967	3	2	134
Beam_3_2_3	17005	0.049514	0.11181	0.019673	3	2	134
Beam_3_2_3	16973	0.049514	0.11181	0.018476	3	2	134
Beam_3_2_3	17000	0.043799	0.1123	0.01999	3	2	134
Beam_3_2_3	16980	0.043799	0.1123	0.0188	3	2	134
Beam_3_2_3	16953	0.055209	0.1123	0.018801	3	2	134
Beam_3_2_3	17021	0.055209	0.1123	0.019992	3	2	134
Beam_3_2_3	16974	0.047145	0.11243	0.018883	3	2	134
Beam_3_2_3	17002	0.047145	0.11243	0.020072	3	2	134
Beam_3_2_3	16972	0.051876	0.11243	0.018883	3	2	134
Beam_3_2_3	17008	0.051876	0.11243	0.020072	3	2	134
Beam_3_2_3	16979	0.041905	0.1128	0.019121	3	2	134
Beam_3_2_3	16999	0.041905	0.1128	0.020305	3	2	134
Beam_3_2_3	17022	0.057099	0.1128	0.020306	3	2	134
Beam_3_2_3	16954	0.057099	0.1128	0.019122	3	2	134
Beam_3_2_3	16975	0.04476	0.11305	0.019283	3	2	134
Beam_3_2_3	17003	0.04476	0.11305	0.020464	3	2	134
Beam_3_2_3	17007	0.054254	0.11305	0.020464	3	2	134
Beam_3_2_3	16971	0.054254	0.11305	0.019283	3	2	134
Beam_3_2_3	16976	0.042388	0.11367	0.019672	3	2	134
