Node Number	X Location (m)	Y Location (m)	Z Location (m)	
521	1.5e-002	0.1355	-7.5608e-029	
522	1.e-002	0.1355	-7.5608e-029	
523	5.e-003	0.1355	-7.5608e-029	
524	-4.3368e-017	0.1355	-7.5608e-029	
525	-5.e-003	0.1355	-7.5608e-029	
526	6.5e-002	0.1305	-6.7325e-029	
527	6.e-002	0.1305	-6.7325e-029	
528	5.5e-002	0.1305	-6.7325e-029	
529	5.e-002	0.1305	-6.7325e-029	
530	4.5e-002	0.1305	-6.7325e-029	
531	4.e-002	0.1305	-6.7325e-029	
532	3.5e-002	0.1305	-6.7325e-029	
533	3.e-002	0.1305	-6.7325e-029	
534	2.5e-002	0.1305	-6.7325e-029	
535	2.e-002	0.1305	-6.7325e-029	
536	1.5e-002	0.1305	-6.7325e-029	
537	1.e-002	0.1305	-6.7325e-029	
538	5.e-003	0.1305	-6.7325e-029	
539	3.4694e-017	0.1305	-6.7325e-029	
540	-5.e-003	0.1305	-6.7325e-029	
541	6.5e-002	0.1255	-5.9042e-029	
542	6.e-002	0.1255	-5.9042e-029	
543	5.5e-002	0.1255	-5.9042e-029	
544	5.e-002	0.1255	-5.9042e-029	
545	4.5e-002	0.1255	-5.9042e-029	
546	4.e-002	0.1255	-5.9042e-029	
547	3.5e-002	0.1255	-5.9042e-029	
548	3.e-002	0.1255	-5.9042e-029	
549	2.5e-002	0.1255	-5.9042e-029	
550	2.e-002	0.1255	-5.9042e-029	
551	1.5e-002	0.1255	-5.9042e-029	
552	1.e-002	0.1255	-5.9042e-029	
553	5.e-003	0.1255	-5.9042e-029	
554	-4.8139e-017	0.1255	-5.9042e-029	
555	-5.e-003	0.1255	-5.9042e-029	
556	6.5e-002	0.1205	-5.0758e-029	
557	6.e-002	0.1205	-5.0758e-029	
558	5.5e-002	0.1205	-5.0758e-029	
559	5.e-002	0.1205	-5.0758e-029	
560	4.5e-002	0.1205	-5.0758e-029	
561	4.e-002	0.1205	-5.0758e-029	
562	3.5e-002	0.1205	-5.0758e-029	
563	3.e-002	0.1205	-5.0758e-029	
564	2.5e-002	0.1205	-5.0758e-029	
565	2.e-002	0.1205	-5.0758e-029	
566	1.5e-002	0.1205	-5.0758e-029	
567	1.e-002	0.1205	-5.0758e-029	
568	5.e-003	0.1205	-5.0758e-029	
569	3.5128e-017	0.1205	-5.0758e-029	
570	-5.e-003	0.1205	-5.0758e-029	
571	6.5e-002	0.1155	-4.2475e-029	
572	6.e-002	0.1155	-4.2475e-029	
573	5.5e-002	0.1155	-4.2475e-029	
574	5.e-002	0.1155	-4.2475e-029	
575	4.5e-002	0.1155	-4.2475e-029	
576	4.e-002	0.1155	-4.2475e-029	
577	3.5e-002	0.1155	-4.2475e-029	
578	3.e-002	0.1155	-4.2475e-029	
579	2.5e-002	0.1155	-4.2475e-029	
580	2.e-002	0.1155	-4.2475e-029	
581	1.5e-002	0.1155	-4.2475e-029	
582	1.e-002	0.1155	-4.2475e-029	
583	5.e-003	0.1155	-4.2475e-029	
584	1.3227e-017	0.1155	-4.2475e-029	
585	-5.e-003	0.1155	-4.2475e-029	
